site-bay-shelf-position,switchname-port,ip
DNN3-A101-10-1,DNN3-A101C-25,10.32.96.154
DNN3-A101-10-10,DNN3-A101C-34,10.32.96.163
DNN3-A101-10-11,DNN3-A101C-35,10.32.96.164
DNN3-A101-10-12,DNN3-A101C-36,10.32.96.165
DNN3-A101-10-2,DNN3-A101C-26,10.32.96.155
DNN3-A101-10-3,DNN3-A101C-27,10.32.96.156
DNN3-A101-10-4,DNN3-A101C-28,10.32.96.157
DNN3-A101-10-5,DNN3-A101C-29,10.32.96.158
DNN3-A101-10-6,DNN3-A101C-30,10.32.96.159
DNN3-A101-10-7,DNN3-A101C-31,10.32.96.160
DNN3-A101-10-8,DNN3-A101C-32,10.32.96.161
DNN3-A101-10-9,DNN3-A101C-33,10.32.96.162
DNN3-A101-1-1,DNN3-A101A-1,10.32.96.2
DNN3-A101-1-10,DNN3-A101A-10,10.32.96.11
DNN3-A101-11-1,DNN3-A101D-1,10.32.96.194
DNN3-A101-1-11,DNN3-A101A-11,10.32.96.12
DNN3-A101-11-10,DNN3-A101D-10,10.32.96.203
DNN3-A101-11-11,DNN3-A101D-11,10.32.96.204
DNN3-A101-11-12,DNN3-A101D-12,10.32.96.205
DNN3-A101-11-2,DNN3-A101D-2,10.32.96.195
DNN3-A101-1-12,DNN3-A101A-12,10.32.96.13
DNN3-A101-11-3,DNN3-A101D-3,10.32.96.196
DNN3-A101-11-4,DNN3-A101D-4,10.32.96.197
DNN3-A101-11-5,DNN3-A101D-5,10.32.96.198
DNN3-A101-11-6,DNN3-A101D-6,10.32.96.199
DNN3-A101-11-7,DNN3-A101D-7,10.32.96.200
DNN3-A101-11-8,DNN3-A101D-8,10.32.96.201
DNN3-A101-11-9,DNN3-A101D-9,10.32.96.202
DNN3-A101-1-2,DNN3-A101A-2,10.32.96.3
DNN3-A101-12-1,DNN3-A101D-13,10.32.96.206
DNN3-A101-12-10,DNN3-A101D-22,10.32.96.215
DNN3-A101-12-11,DNN3-A101D-23,10.32.96.216
DNN3-A101-12-12,DNN3-A101D-24,10.32.96.217
DNN3-A101-12-2,DNN3-A101D-14,10.32.96.207
DNN3-A101-12-3,DNN3-A101D-15,10.32.96.208
DNN3-A101-12-4,DNN3-A101D-16,10.32.96.209
DNN3-A101-12-5,DNN3-A101D-17,10.32.96.210
DNN3-A101-12-6,DNN3-A101D-18,10.32.96.211
DNN3-A101-12-7,DNN3-A101D-19,10.32.96.212
DNN3-A101-12-8,DNN3-A101D-20,10.32.96.213
DNN3-A101-12-9,DNN3-A101D-21,10.32.96.214
DNN3-A101-1-3,DNN3-A101A-3,10.32.96.4
DNN3-A101-13-1,DNN3-A101D-25,10.32.96.218
DNN3-A101-13-10,DNN3-A101D-34,10.32.96.227
DNN3-A101-13-11,DNN3-A101D-35,10.32.96.228
DNN3-A101-13-12,DNN3-A101D-36,10.32.96.229
DNN3-A101-13-2,DNN3-A101D-26,10.32.96.219
DNN3-A101-13-3,DNN3-A101D-27,10.32.96.220
DNN3-A101-13-4,DNN3-A101D-28,10.32.96.221
DNN3-A101-13-5,DNN3-A101D-29,10.32.96.222
DNN3-A101-13-6,DNN3-A101D-30,10.32.96.223
DNN3-A101-13-7,DNN3-A101D-31,10.32.96.224
DNN3-A101-13-8,DNN3-A101D-32,10.32.96.225
DNN3-A101-13-9,DNN3-A101D-33,10.32.96.226
DNN3-A101-1-4,DNN3-A101A-4,10.32.96.5
DNN3-A101-1-5,DNN3-A101A-5,10.32.96.6
DNN3-A101-1-6,DNN3-A101A-6,10.32.96.7
DNN3-A101-1-7,DNN3-A101A-7,10.32.96.8
DNN3-A101-1-8,DNN3-A101A-8,10.32.96.9
DNN3-A101-1-9,DNN3-A101A-9,10.32.96.10
DNN3-A101-2-1,DNN3-A101A-13,10.32.96.14
DNN3-A101-2-10,DNN3-A101A-22,10.32.96.23
DNN3-A101-2-11,DNN3-A101A-23,10.32.96.24
DNN3-A101-2-12,DNN3-A101A-24,10.32.96.25
DNN3-A101-2-2,DNN3-A101A-14,10.32.96.15
DNN3-A101-2-3,DNN3-A101A-15,10.32.96.16
DNN3-A101-2-4,DNN3-A101A-16,10.32.96.17
DNN3-A101-2-5,DNN3-A101A-17,10.32.96.18
DNN3-A101-2-6,DNN3-A101A-18,10.32.96.19
DNN3-A101-2-7,DNN3-A101A-19,10.32.96.20
DNN3-A101-2-8,DNN3-A101A-20,10.32.96.21
DNN3-A101-2-9,DNN3-A101A-21,10.32.96.22
DNN3-A101-3-1,DNN3-A101A-25,10.32.96.26
DNN3-A101-3-10,DNN3-A101A-34,10.32.96.35
DNN3-A101-3-11,DNN3-A101A-35,10.32.96.36
DNN3-A101-3-12,DNN3-A101A-36,10.32.96.37
DNN3-A101-3-2,DNN3-A101A-26,10.32.96.27
DNN3-A101-3-3,DNN3-A101A-27,10.32.96.28
DNN3-A101-3-4,DNN3-A101A-28,10.32.96.29
DNN3-A101-3-5,DNN3-A101A-29,10.32.96.30
DNN3-A101-3-6,DNN3-A101A-30,10.32.96.31
DNN3-A101-3-7,DNN3-A101A-31,10.32.96.32
DNN3-A101-3-8,DNN3-A101A-32,10.32.96.33
DNN3-A101-3-9,DNN3-A101A-33,10.32.96.34
DNN3-A101-4-1,DNN3-A101B-1,10.32.96.66
DNN3-A101-4-10,DNN3-A101B-10,10.32.96.75
DNN3-A101-4-11,DNN3-A101B-11,10.32.96.76
DNN3-A101-4-12,DNN3-A101B-12,10.32.96.77
DNN3-A101-4-2,DNN3-A101B-2,10.32.96.67
DNN3-A101-4-3,DNN3-A101B-3,10.32.96.68
